OBJECTID,Borough,Unique_Asset_ID,Holding_Name,Address,Post_Code,Sub_Unit,UPRN,Description,Occupied_by_MPS,Land_Buildings,Asset_Category,Tenure,Site_Area_Hectares,Building_Area_GIA_sqm,Building_Area_NIA_sqm,Easting,Northing,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Occupied_by,Built_out
105,Hackney,6587,WELL STREET 92 GROUND FLOOR PART,GROUND FLOOR OFFICE 92 WELL STREET . HACKNEY,E9 7JA,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,535301,184201,,,,,,,,,,,
106,Hammersmith & Fulham,309,EMPRESS STATE BUILDING,EMPRESS STATE BUILDING EMPRESS APPROACH . LILLIE ROAD,SW6 1TR,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,,41284,0,525094,178024,,,,,,,,,,,
107,Hammersmith & Fulham,292,HAMMERSMITH POLICE STATION & ANNEXES,HAMMERSMITH POLICE STATION 226 SHEPHERDS BUSH ROAD . .,W6 7NX,,,POLICE STATION,Yes,Land & buildings ,Subject to disposal process,FH,0.34,5094,0,523364,178793,,,,,,,,,,,
108,Hammersmith & Fulham,926,LILLIE ROAD 21,21 LILLIE ROAD . . EARLS COURT,SW6 1EU,,,WAREHOUSE,Yes,Land & buildings ,Operational asset,FH,0.21,1858,0,525251,177912,,,,,,,,,,,
109,Hammersmith & Fulham,308,SHEPHERDS BUSH POLICE STATION,SHEPHERDS BUSH POLICE STATION 252 UXBRIDGE ROAD . SHEPHERDS BUSH,W12 7JB,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.19,1700,0,523019,180085,,,,,,,,,,,
110,Hammersmith & Fulham,6080,Fulham WAITROSE Safer Neighbourhood Base,"WAITROSE CAR PARK, HECKFIELD PLACE, ., LONDON, LONDON,",SW6 5NL,,,TEMPORARYPREFAB,Yes,Land & buildings ,Operational asset,LH,,,0,525109,177140,,,,,,,,,,,
111,Haringey,6513,COLLECTION POINT UNIT A GROUND FLOOR,GROUND FLOOR COMMERCIAL UNIT A COLLECTION POINT 73 CROUCH HALL ROAD CROUCH END,N8 8HF,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,188,0,529995,188386,,,,,,,,,,,
112,Haringey,764,HORNSEY POLICE STATION,HORNSEY POLICE STATION 94-98 TOTTENHAM LANE . HORNSEY,N8 7EJ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.2,1546,0,530641,189015,,,,,,,,,,,
113,Haringey,915,LYMINGTON AVE THE MALL WOOD GREEN FIRST FLOOR PART,LYMINGTON AVENUE PART FIRST FLOOR WOOD GREEN SHOPPING CENTRE WOOD GREEN,N22 6JB,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,1418,0,531305,190075,,,,,,,,,,,
114,Haringey,916,QUICKSILVER PLACE UNITS 1 & 2,"UNITS 1 & 2 QUICKSILVER PLACE, WESTERN ROAD,WOOD GREEN",N22 6XH,,,PATROLBASE,Yes,Land & buildings ,Operational asset,LH,,2988,0,530546,190183,,,,,,,,,,,
115,Haringey,776,TOTTENHAM POLICE STATION,TOTTENHAM POLICE STATION 398 HIGH ROAD . TOTTENHAM,N17 9JA,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.13,2108,0,533808,189770,,,,,,,,,,,
116,Haringey,780,WOOD GREEN POLICE STATION,WOOD GREEN POLICE STATION 347 HIGH ROAD . WOOD GREEN,N22 4HZ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.27,1472,0,530836,191043,,,,,,,,,,,
117,Harrow,6591,CENTENARY PARK THE PAVILION,CENTENARY PARK THE PAVILION CULVER GROVE . QUEENSBURY,HA7 2NG,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,146,0,517597,190281,,,,,,,,,,,
118,Harrow,6602,CHURCHILL COURT 3,3 CHURCHILL COURT 58 STATION ROAD . NORTH HARROW,HA2 7SA,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,188,0,513635,188587,,,,,,,,,,,
119,Harrow,578,EDGWARE POLICE STATION,EDGWARE POLICE STATION WHITCHURCH LANE . EDGWARE,HA8 6LB,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.08,1098,0,519178,191524,,,,,,,,,,,
120,Harrow,6700,FOUNTAIN HOUSE UNIT 3 CHURCH ROAD 30,UNIT 3 FOUNTAIN HOUSE 30 CHURCH ROAD STANMORE,HA7 4AL,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,516940,192272,,,,,,,,,,,
121,Harrow,6751,HARROW CIVIC CENTRE,CIVIC CENTRE PART GROUND FLOOR STATION ROAD . HARROW,HA1 2XA,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,,,515492,189133,,,,,,,,,,,
122,Harrow,7513,HARROW ON THE HILL TFL STATION ROOM,MPS ROOM HARROW ON THE HILL UNDERGROUND STATION STATION APPROACH HARROW ON THE HILL,HA1 1BB,,,SAFER TRANSPORT,Yes,Land & buildings ,Operational asset,LH,,,0,515331,188033,,,,,,,,,,,
123,Harrow,716,HARROW POLICE STATION,HARROW POLICE STATION 74 NORTHOLT ROAD . HARROW,HA2 0DN,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.17,2173,0,514556,186798,,,,,,,,,,,
124,Harrow,6604,HEADSTONE DRIVE 1 GROUND FLOOR,GROUND FLOOR 1 HEADSTONE DRIVE . HARROW,HA3 6QX,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,91,0,514363,191300,,,,,,,,,,,
125,Harrow,6663,KIRKLAND HOUSE GRND FLR PART HARROW CENTRAL,GROUND FLOOR KIRKLAND HOUSE 11-15 PETERBOROGH ROAD HARROW,HA1 2AX,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,223,0,515566,187893,,,,,,,,,,,
126,Harrow,728,PINNER POLICE STATION,PINNER POLICE STATION 1 WAXWELL LANE . PINNER,HA5 3LA,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.1,229,0,511956,189793,,,,,,,,,,,
127,Harrow,6504,ROOKS HEATH HIGH SCHOOL FORMER CARETAKER HOUSE,OLD CARETAKER'S HOUSE ROOKS HEATH SCHOOL 274 EASTCOTE LANE HARROW,HA2 9AG,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,68,0,513030,186240,,,,,,,,,,,
128,Harrow,6593,UXBRIDGE ROAD 155,155 UXBRIDGE ROAD . HATCH END HARROW,HA5 4AE,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,50,0,513003,191907,,,,,,,,,,,
129,Havering,6578,COLLIER ROW ROAD 116,116 COLLIER ROW ROAD COLLIER ROW . ROMFORD,RM5 2BB,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,106,0,550130,190490,,,,,,,,,,,
130,Havering,6649,CORBETS TEY ROAD 9 GRND FLOOR (UPMINSTER PO),GROUND FLOOR 9 CORBETS TEY ROAD . UPMINSTER,RM14 2AP,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,556015,186425,,,,,,,,,,,
131,Havering,934,FALCON BUSINESS CENTRE UNIT 22,UNIT 22 FALCON BUSINESS CENTRE HAROLD HILL INDUSTRIAL ESTATE SPILSBY ROAD ROMFORD,RM3 8UP,,,PATROLBASE,Yes,Land & buildings ,Operational asset,FH,0.62,5736,0,554039,191145,,,,,,,,,,,
132,Havering,991,HAVERING PUBLIC ADVISORY SERVICE CENTRE,HAVERING PUBLIC ADVISORY SERVICE CENTRE ROMFORD TOWN CENTRE THE LIBERTY ROMFORD,RM1 3RL,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,,,551395,188866,,,,,,,,,,,
133,Havering,433,HORNCHURCH POLICE STATION,HORNCHURCH POLICE STATION 74 STATION LANE . HORNCHURCH,RM12 6NA,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.33,976,0,554001,186816,,,,,,,,,,,
134,Havering,461,RAINHAM POLICE OFFICE,RAINHAM POLICE OFFICE BRIDGE ROAD . RAINHAM,RM13 9YZ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,LH,,99,0,552086,182410,,,,,,,,,,,
135,Havering,438,ROMFORD POLICE STATION,ROMFORD POLICE STATION 19 MAIN ROAD . ROMFORD,RM1 3BJ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.67,3081,0,551565,189296,,,,,,,,,,,
136,Havering,6553,RONEO CORNER 16 GROUND FLOOR,16 RONEO CORNER GROUND FLOOR . HORNCHURCH,RM12 4TN,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,114,0,551737,187423,,,,,,,,,,,
137,Havering,4196,STATION LANE 74A-74B,STATION LANE 74A & 74B STATION LANE . HORNCHURCH,RM12 6NA,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,,200,0,554001,186816,,,,,,,,,,,
138,Havering,6702,STATION ROAD 11 & 11A,11 STATION ROAD HAROLD WOOD,RM3 0BP,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,135,0,554789,190656,,,,,,,,,,,
139,Havering,6628,STRAIGHT ROAD 84-86,84-86 STRAIGHT ROAD . HAROLD HILL ROMFORD,RM3 8AB,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,114,0,553348,191002,,,,,,,,,,,
140,Havering,6555,TADWORTH PARADE 17,17 TADWORTH PARADE ELM PARK . HORNCHURCH,RM12 5AS,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,94,0,552650,185666,,,,,,,,,,,
141,Havering,6618,TUDOR HOUSE BALGORES SQ GRD & 1ST FLRS,GROUND AND FIRST FLOORS TUDOR HOUSE 11 BALGORES SQUARE GIDEA PARK,RM2 6AU,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,175,0,552807,189418,,,,,,,,,,,
142,Hillingdon,6715,COLHAM HOUSE UNIT 1 GROUND FLOOR PART,UNIT 1 COLHAM HOUSE BAKERS ROAD UXBRIDGE,UB8 1SH,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,242,0,505613,184234,,,,,,,,,,,
143,Hillingdon,720,HAYES POLICE STATION,HAYES POLICE STATION 755 UXBRIDGE ROAD . HAYES,UB4 8HU,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.17,1467,0,508667,181847,,,,,,,,,,,
144,Hillingdon,5511,HEATHROW BUILDING 17820 - VARIOUS ROOMS,BUILDING 17820 HEATHROW AIRPORT . .,UB3 5AP,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,130,0,507700,176020,,,,,,,,,,,
145,Hillingdon,5541,HEATHROW CARGO BUILDING,"HEATHROW CARGO BUILDING, 18526 STIRLING ROAD HEATHROW AIRPORT .",UB3 5AP,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,10,0,507700,176020,,,,,,,,,,,
146,Hillingdon,5516,HEATHROW D'ALBIAC HOUSE PART SECOND FLOOR,D'ALBIAC HOUSE CROMER ROAD CENTRAL TERMINAL AREA HEATHROW AIRPORT,TW6 1SD,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,37,0,507391,176083,,,,,,,,,,,
147,Hillingdon,5547,HEATHROW POLICE CAR POUND,BUILDING 1239 POLICE CAR POUND NORTHERN PERIMITER ROAD (WEST) HEATHROW AIRPORT,TW6 2EQ,,,POLICE ST ANNEX,Yes,Land & buildings ,Operational asset,LH,,547,0,507707,176914,,,,,,,,,,,
148,Hillingdon,5500,HEATHROW TERMINAL 1 - VARIOUS ROOMS,HEATHROW TERMINAL 1 HEATHROW AIRPORT . .,TW6 1AP,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,31,0,507700,176020,,,,,,,,,,,
149,Hillingdon,5504,HEATHROW TERMINAL 3 - VARIOUS ROOMS AND PARKING,HEATHROW TERMINAL 3 HEATHROW AIRPORT . .,TW6 1QG,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,100,0,507700,176020,,,,,,,,,,,
150,Hillingdon,5507,HEATHROW TERMINAL 4 - VARIOUS ROOMS AND PARKING,TERMINAL 4 HEATHROW AIRPORT . .,TW6 3XA,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,95,0,508050,176020,,,,,,,,,,,
151,Hillingdon,5515,HEATHROW TERMINAL 5 - CONCOURSE A VARIOUS ROOMS,CONCOURSE A TERMINAL 5 HEATHROW AIRPORT .,TW6 2GA,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,37,0,507700,176020,,,,,,,,,,,
152,Hillingdon,733,HILLINGDON POLICE STATION (UXBRIDGE),122-123 HIGH STREET . . UXBRIDGE,UB8 1PG,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.34,3401,0,505432,184448,,,,,,,,,,,
153,Hillingdon,724,NORTHWOOD POLICE OFFICE,NORTHWOOD POLICE STATION 2 MURRAY ROAD . NORTHWOOD,HA6 2YN,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.15,576,0,509104,191381,,,,,,,,,,,
154,Hillingdon,941,POLAR PARK UNIT 3,UNIT 3 POLAR PARK BATH ROAD HARMONDSWORTH,UB7 0DA,,,COMBINED PT/CU,Yes,Land & buildings ,Operational asset,LH,,0,0,506501,177055,,,,,,,,,,,
155,Hillingdon,6178,RAF NORTHOLT,RAF NORTHOLT WEST END ROAD . RUISLIP,HA4 6NG,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,0,0,510319,185537,,,,,,,,,,,
156,Hillingdon,726,RUISLIP POLICE STATION,RUISLIP POLICE STATION THE OAKS . RUISLIP,HA4 7LE,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.13,1345,0,509061,187529,,,,,,,,,,,
157,Hounslow,6366,BLENHEIM CENTRE CAR PARK,BLENHEIM CENTRE PRINCE REGENT ROAD . HOUNSLOW,TW3 1NL,,,CAR PARKING,Yes,Land & buildings ,Operational asset,LH,,0,0,513858,175955,,,,,,,,,,,
158,Hounslow,291,CHISWICK POLICE STATION,CHISWICK POLICE STATION 205-207 HIGH ROAD . CHISWICK,W4 2DU,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.17,2196,0,521022,178460,,,,,,,,,,,
159,Hounslow,967,CIVIC CENTRE HOUNSLOW PAVILION B,CIVIC CENTRE PAVILION B LAMPTON ROAD HOUNSLOW,TW3 4DN,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,,0,513373,176402,,,,,,,,,,,
160,Hounslow,618,FELTHAM POLICE STATION,FELTHAM POLICE STATION 34 HANWORTH ROAD . FELTHAM,TW13 5BD,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.2,1267,0,511010,173156,,,,,,,,,,,
161,Hounslow,7508,HOUNSLOW BUS GARAGE PART GROUND FLOOR,HOUNSLOW BUS GARAGE KINGSLEY STREET . HOUNSLOW,TW3 1PA,,,SAFER TRANSPORT,Yes,Land & buildings ,Operational asset,LH,,,0,514358,176021,,,,,,,,,,,
162,Hounslow,624,HOUNSLOW POLICE STATION,HOUNSLOW POLICE STATION 3-5 MONTAGUE ROAD . HOUNSLOW,TW3 1LB,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.22,2860,0,513709,175729,,,,,,,,,,,
163,Islington,6710,BLACKSTOCK ROAD 70,70 BLACKSTOCK ROAD ISLINGTON . .,N4 2DR,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,201,0,531643,186615,,,,,,,,,,,
164,Islington,6720,GOSWELL ROAD 112-114 GROUND & BASEMENT,GROUND FLOOR & BASEMENT 112-114 GOSWELL ROAD . ISLINGTON,EC1V 7DP,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,237,0,531978,182343,,,,,,,,,,,
165,Islington,6745,HOLLOWAY FIRE STATION (PART) HORNSEY ROAD 262-268,HOLLOWAY FIRE STATION 262-268 HORNSEY ROAD . .,N7 7QT,,,SAFER TRANSPORT,Yes,Land & buildings ,Operational asset,LH,,,0,530688,186415,,,,,,,,,,,
166,Islington,485,HOLLOWAY POLICE STATION,HOLLOWAY POLICE STATION 284 HORNSEY ROAD . .,N7 7QY,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.13,1811,0,530635,186484,,,,,,,,,,,
167,Islington,277,ISLINGTON POLICE STATION,ISLINGTON POLICE STATION 2 TOLPUDDLE STREET . ISLINGTON,N1 0YY,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.41,6079,0,531125,183345,,,,,,,,,,,
168,Islington,276,KINGS CROSS ROAD FORMER POLICE STATION,KINGS CROSS ROAD (FORMER) POLICE STATION 76 KINGS CROSS ROAD . .,WC1X 9QG,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,0.21,2721,0,530832,182745,,,,,,,,,,,
169,Kensington & Chelsea,6364,BROADWOOD TERRACE CAR PARK,BROADWOOD TERRACE . . .,W8,,,CAR PARKING,Yes,Land & buildings ,Operational asset,LH,,0,0,524870,178858,,,,,,,,,,,
170,Kensington & Chelsea,295,EARLS COURT ROAD 74,AREA MAJOR INVESTIGATION POOL 74 EARLS COURT ROAD . KENSINGTON,W8 6EQ,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,0.05,849,493,525196,179105,,,,,,,,,,,
171,Kensington & Chelsea,6263,EARLS COURT STATION WATCH BOX,EARLS COURT STATION POLICE WATCH BOX EARLS COURT ROAD .,SW5,,,POLICE BOX,Yes,Land & buildings ,Operational asset,LH,,3,0,525457,178480,,,,,,,,,,,
172,Kensington & Chelsea,296,KENSINGTON HIGH ST 78,78 KENSINGTON HIGH STREET . . KENSINGTON,W8 4SG,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,0.06,1147,771,525622,179676,,,,,,,,,,,
173,Kensington & Chelsea,294,KENSINGTON POLICE STATION,KENSINGTON POLICE STATION 72 - 74 EARLS COURT ROAD . KENSINGTON,W8 6EQ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.13,4849,0,525183,179155,,,,,,,,,,,
174,Kensington & Chelsea,6648,KENWAY ROAD 2-4,4 KENWAY ROAD . . EARLS COURT,SW5 0RR,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,302,0,525533,178667,,,,,,,,,,,
175,Kensington & Chelsea,300,NOTTING HILL POLICE STATION,NOTTING HILL POLICE STATION 99-101 LADBROKE ROAD . NOTTING HILL,W11 3PL,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.17,2191,0,524791,180387,,,,,,,,,,,
176,Kensington & Chelsea,6567,ROYALTY STUDIOS UNITS C D & E,GROUND FLOOR UNITS C D & E ROYALTY STUDIOS 105/109 LANCASTER ROAD NOTTING HILL,W11 1QF,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,267,0,524426,181344,,,,,,,,,,,
177,Kensington & Chelsea,298,SIRDAR ROAD 58,58 SIRDAR ROAD . . NOTTING HILL,W11 4EG,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,0.07,1228,0,523983,180673,,,,,,,,,,,
178,Kensington & Chelsea,6590,ST JOHNS CHURCH (PREMISES BENEATH) GROUND FLOOR,PREMISES BENEATH ST JOHNS CHURCH 465 KINGS ROAD . .,SW10 0LU,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,150,0,526442,177427,,,,,,,,,,,
179,Kingston,6509,C I TOWER GROUND FLOOR PART NEW MALDEN,PART GROUND FLOOR C I TOWER DUKES AVENUE NEW MALDEN,KT3 4TR,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,116,0,521414,168479,,,,,,,,,,,
180,Kingston,6716,COWLEAZE ROAD 5 GROUND FLOOR PART,GROUND FLOOR 5 COWLEAZE ROAD . KINGSTON,KT2 6BF,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,207,0,518296,169704,,,,,,,,,,,
181,Kingston,661,EAGLE HOUSE GROUND 1ST & 2ND FLOORS,EAGLE HOUSE RAM PASSAGE HIGH STREET KINGSTON,KT1 1HH,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,1182,0,517758,169004,,,,,,,,,,,
182,Kingston,6733,HOOK ROAD 391,391 HOOK ROAD . . CHESSINGTON,KT9 1AB,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,117,0,518010,164507,,,,,,,,,,,
183,Kingston,6371,KINGSTON BT SECTOR SWITCHING CENTRE,TAVENER HOUSE 101 BIRKENHEAD ROAD . KINGSTON,KT2 6RX,,,CAR PARKING,Yes,Land & buildings ,Operational asset,LH,,,0,518869,169555,,,,,,,,,,,
184,Kingston,660,KINGSTON POLICE STATION,KINGSTON POLICE STATION 5 & 7 HIGH STREET . KINGSTON,KT1 1LB,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.24,3742,0,517855,169054,,,,,,,,,,,
185,Kingston,6684,MALDEN ROAD 122,122 MALDEN ROAD . . NEW MALDEN,KT3 6DD,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,90,0,521475,168033,,,,,,,,,,,
186,Kingston,6688,MILLBANK HOUSE GROUND FLOOR NORTH,GROUND FLOOR NORTH MILLBANK HOUSE 171-185 EWELL ROAD SURBITON,KT6 6AP,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,280,0,518615,166818,,,,,,,,,,,
187,Kingston,6526,YMCA VICTORIA ROAD 49 GROUND FLOOR PART,YMCA SURBITON PART GROUND FLOOR 49 VICTORIA ROAD SURBITON,KT6 4NG,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,46,0,517794,167141,,,,,,,,,,,
188,Lambeth,440,BRIXTON POLICE STATION,BRIXTON POLICE STATION 367 BRIXTON ROAD . BRIXTON,SW9 7DD,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.29,4362,0,531174,175678,,,,,,,,,,,
189,Lambeth,680,CAVENDISH ROAD POLICE STATION,CAVENDISH ROAD POLICE STATION 47 CAVENDISH ROAD . CLAPHAM,SW12 0BL,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.11,989,0,529163,174295,,,,,,,,,,,
190,Lambeth,6536,CLEMENT AVENUE 4 PART GROUND & 1ST FLOORS,PART GROUND & FIRST FLOOR 4 CLEMENT AVENUE 65-69 CLAPHAM HIGH STREET CLAPHAM,SW4 7TY,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,231,0,529694,175459,,,,,,,,,,,
191,Lambeth,203,COBALT SQUARE,COBALT SQUARE 1 SOUTH LAMBETH ROAD . LAMBETH,SW8 1SU,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,0.51,18378,12418,530520,177957,,,,,,,,,,,
192,Lambeth,6506,COLDHARBOUR LANE 411,411 COLDHARBOUR LANE . . BRIXTON,SW9 8LH,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,254,0,531171,175306,,,,,,,,,,,
193,Lambeth,802,GIPSY HILL POLICE STATION,GIPSY HILL POLICE STATION 66 CENTRAL HILL . .,SE19 1DT,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.11,1102,0,533290,170727,,,,,,,,,,,
194,Lambeth,464,KENNINGTON POLICE STATION,KENNINGTON POLICE STATION 49/51 KENNINGTON ROAD . .,SE1 7QA,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.14,2557,0,531183,179317,,,,,,,,,,,
195,Lambeth,124,LAMBETH HQ,LAMBETH HQ 93/109 LAMBETH ROAD . LAMBETH,SE1 7LP,,,OFFICE,Yes,Land & buildings ,Operational asset,LLH,1.05,16726,0,530760,178964,,,,,,,,,,,
196,Lambeth,8128,LARKHALL LANE 157,LARKHALL LANE 157 LARKHALL LANE . CLAPHAM,SW4 6RE,,,LIGHTINDUSTRIAL,Yes,Land & buildings ,Operational asset,FH,0.57,3784,0,529866,176253,,,,,,,,,,,
197,Lambeth,920,LOUGHBOROUGH JUNC POLICE OFFICE COLDHARBOUR LANE,236 COLDHARBOUR LANE . . .,SW9 8SD,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,LH,,149,0,531844,175759,,,,,,,,,,,
198,Lambeth,6632,NORWOOD ROAD 186,186 NORWOOD ROAD . . .,SE27 9AU,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,178,0,531703,172888,,,,,,,,,,,
199,Lambeth,6372,ST GEORGE WHARF,ST GEORGE WHARF LAMBETH,SW8 XXX,,,CAR PARKING,Yes,Land & buildings ,Operational asset,LH,,,0,530275,178002,,,,,,,,,,,
200,Lambeth,6620,STREATHAM HIGH ROAD 326 BASEMENT AND GF,BASEMENT AND GROUND FLOOR 326 STREATHAM HIGH ROAD,SW16 6HH,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,,0,530003,171439,,,,,,,,,,,
201,Lewisham,524,AITKEN ROAD 34 SEATU,SOUTH EASTERN AREA TU & W/SHOP 34 AITKEN ROAD . CATFORD,SE6 3BG,,,WORKSHOP,Yes,Land & buildings ,Operational asset,FH,0.79,7736,0,537600,172767,,,,,,,,,,,
202,Lewisham,162,CATFORD HILL 128,128 CATFORD HILL . . CATFORD,SE6 4PS,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,0.13,654,519,536888,173038,,,,,,,,,,,
203,Lewisham,506,CATFORD POLICE STATION,CATFORD POLICE STATION 333 BROMLEY ROAD . CATFORD,SE6 2RJ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.32,2984,0,538400,172056,,,,,,,,,,,
204,Lewisham,911,DEPTFORD POLICE STATION,DEPTFORD POLICE STATION 118-124 AMERSHAM VALE . NEW CROSS,SE14 6LG,,,POLICE STATION,Yes,Land & buildings ,Operational asset,OTH - PFI,,592,0,536767,177446,,,,,,,,,,,
205,Lewisham,148,FOREST HILL WIRELESS STATION,FOREST HILL WIRELESS STATION HORNIMAN DRIVE . .,SE23 XXX,,,WIRELESS STN,Yes,Land & buildings ,Operational asset,FH,0.38,300,0,535060,173451,,,,,,,,,,,
206,Lewisham,526,LEWISHAM POLICE STATION,33-63 HIGH STREET LEWISHAM . . LEWISHAM,SE13 5JZ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,OTH - PFI,,15271,0,538338,175732,,,,,,,,,,,
207,Merton,6689,ABERCONWAY ROAD 35 UNIT 2B,UNIT 2B 35 ABERCONWAY ROAD . MORDEN,SM4 5LN,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,210,0,525746,168476,,,,,,,,,,,
208,Merton,6608,ALLIANCE HOUSE GROUND FLOOR,ALLIANCE HOUSE GROUND FLOOR PRINCE GEORGES AVENUE RAYNES PARK,SW20 8BH,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,153,0,523452,169280,,,,,,,,,,,
209,Merton,160,CAXTON ROAD 22-24,CAXTON ROAD DEPOT 22-24 CAXTON ROAD . WIMBLEDON,SW19 8SJ,,,LIGHTINDUSTRIAL,Yes,Land & buildings ,Operational asset,FH,0.16,601,0,523528,180028,,,,,,,,,,,
210,Merton,990,CIVIC CENTRE MERTON 12TH FLOOR,CIVIC CENTRE LONDON ROAD MORDEN,SM4 5DX,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,,,525577,168474,,,,,,,,,,,
211,Merton,702,DEER PARK ROAD 15,5 AREA OPS OCU 15 DEER PARK ROAD . MERTON,SW19 3YX,,,LIGHTINDUSTRIAL,Yes,Land & buildings ,Operational asset,FH,0.29,2227,0,526233,169264,,,,,,,,,,,
